STATION_NAME,Year,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford A Columbia Street,2012,,,,,,,,5.8473267326732685,8.109826589595372,6.870781893004114,7.901300578034683,7.06807313642757
Abbotsford A Columbia Street,2013,10.770192307692314,7.166717095310143,6.648463687150841,5.509246088193459,6.630458970792763,5.720704225352112,6.166893732970022,6.346508379888273,6.336633663366343,8.726515151515144,7.958192090395481,9.387020648967559
Abbotsford A Columbia Street,2014,10.02892223738063,4.448254931714728,5.755586592178768,4.87425320056899,5.447646219686164,5.187694483734089,5.979656160458453,6.421253405994553,7.272753623188422,6.410626702997279,7.845492957746479,7.207539118065436
Abbotsford A Columbia Street,2015,10.393522123439668,8.33317466310976,7.380591414500694,5.374568033802822,7.6130431789617425,7.008562437185929,6.396988357142859,7.400597158677679,6.759177635977339,7.70146463623595,9.562525557636889,7.024227614227086
Abbotsford A Columbia Street,2016,8.841723865384614,6.71628671238938,5.240305695898158,6.116305176557864,6.356962655219782,6.274143502145923,5.15445644827586,6.490390381414717,6.959756372857143,5.622679967032964,6.688983260254608,6.9864912220689614
Abbotsford A Columbia Street,2017,10.381797094052564,6.376938758346582,5.607809002525245,4.66849763965268,7.60944951002865,7.44294383717579,6.536847245205478,8.36437561401099,9.567298271014483,8.259367765193351,5.868702386666671,11.075511331034479
Abbotsford A Columbia Street,2018,8.939715971467393,6.966357849253729,6.979186934993086,5.168716589413446,7.219339665722374,6.667757442335759,7.797868740947076,8.769433365229105,6.559453380222844,10.003776486301373,8.084701051532022,6.787924302864948
Abbotsford A Columbia Street,2019,26.50333,,,,,,,,,,,
Abbotsford Central,2009,15.247606019151847,12.683881064162755,9.006849315068493,8.497142857142856,8.561194029850746,7.741279069767442,9.73187414500684,8.91048951048951,9.44915254237288,8.94150417827298,9.251420454545455,14.165068493150688
Abbotsford Central,2010,11.61917808219178,11.35897435897436,10.485994397759104,7.214710042432821,7.705492957746472,5.954390934844194,7.773372781065089,9.013464235624127,7.40509193776521,9.680408163265296,10.50029806259315,10.688904109589044
Abbotsford Central,2011,11.858858858858854,10.245130641330162,7.925307797537629,6.43833580980683,6.32426229508197,6.270862800565775,6.293593314763239,8.28321479374112,9.777323943661985,8.031650750341063,10.474637681159424,13.051648351648348
Abbotsford Central,2012,11.496443228454181,9.841228070175445,8.217283950617283,7.5535558780841825,6.852609890109884,6.885777126099718,7.142134831460672,9.084225352112684,13.332932330827077,9.268302945301537,9.67596566523605,10.74356164383562
Abbotsford Central,2013,13.288387978142065,10.190774907749082,8.871229050279329,7.511948790896165,7.405593451568884,5.944956772334296,6.661294765840217,7.949249658935879,8.740348330914376,9.684931506849313,11.474457429048416,10.778048780487815
Abbotsford Central,2014,11.79097103918228,6.834795763993946,8.260580912863066,6.510791366906476,6.776092896174859,5.996301564722614,7.572144846796657,8.985431400282886,9.421082621082626,8.195152354570642,8.924605678233432,11.979234972677604
Abbotsford Central,2015,12.275962557422968,10.61447263650076,9.483252882673936,7.749576630681818,7.915427754482761,8.220199112291349,7.946485451977398,9.094354005532509,8.798587033946255,10.26548809523809,12.793971658156014,11.757816479452059
Abbotsford Central,2016,13.593909428376545,9.477579054172764,7.123750796061885,7.972087940677966,6.587698381615601,5.6905889870689625,4.815773991825616,6.854223798473274,7.324413808652482,7.184452183906458,7.8565796713675145,9.860246126294285
Abbotsford Central,2017,12.347864023611118,10.170603041603634,7.714672532867126,5.649253294200847,7.845320248611113,7.207093373198846,6.670522966860469,10.574167608516477,10.852627587643674,9.518042607724146,7.916830989361705,12.83757144354839
Abbotsford Central,2018,11.355551392597587,8.941641695067256,9.555389927223716,6.380961431364277,7.14440706469761,5.925068562499996,7.794285132348798,10.34322755209743,7.803169999444435,10.86981402156334,10.019616481012664,9.954042972489692
Abbotsford Central,2019,22.2775,,,,,,,,,,,
Agassiz Municipal Hall,2013,,,,,5.2,5.536549707602334,6.6501400560224075,7.835302197802202,7.945053272450529,7.067847411444144,7.081895332390384,10.830843706777321
Agassiz Municipal Hall,2014,6.801500682128236,5.90060882800609,8.324283765347891,6.227195467422095,6.112568306010931,6.06241134751773,7.540054495912804,8.34532967032967,7.630563380281696,8.375409836065575,7.1036619718309915,7.542759562841526
Agassiz Municipal Hall,2015,8.33691466991644,8.949029622699394,8.618853505449595,6.755728982768362,7.015952686301363,7.279404139436626,7.8713715964187285,9.250503559945507,7.507784201408456,7.442478939972722,8.074302284074605,9.307209823691458
Agassiz Municipal Hall,2016,7.579545179836517,8.72191094005847,7.18909424863388,7.847906431400278,6.5630587125340565,6.822643484507043,6.3042447844474765,8.392039298076925,8.0509804487909,7.735539691346156,8.789381194879093,9.053363959863015
Agassiz Municipal Hall,2017,8.360456953133504,8.677800344036699,7.669430906694008,5.695849627746473,6.580837713636361,6.572544698863638,7.288528283378748,9.814768284731786,9.333592356338032,7.588346974351978,7.85589077787115,6.483206759778075
Agassiz Municipal Hall,2018,10.578285557980905,10.024021431927714,8.591477921488769,6.416504575813292,6.997070851752023,6.861988245125351,7.803189176075267,9.593541013495273,6.766434066527193,7.857778394347242,8.099791898052864,7.997681719241193
Agassiz Municipal Hall,2019,16.26044,,,,,,,,,,,
Blueberry River First Nation School,2016,,,,,,0.48160377631578943,0.5690774321329639,0.4987178225669959,0.4445887437201908,1.0824854016783212,2.390330666714905,2.0779798216783236
Blueberry River First Nation School,2017,1.688636674929971,1.4464212602523663,1.2750210497866294,0.6400627594202905,0.566501842475387,0.5318386043154757,0.41063979453781535,0.45493685294117586,0.4964806511627904,0.6983571214689273,2.01790721510673,
