STATION_NAME,Year,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford A Columbia Street,2012,,,,,,3.7397727272727277,6.478677462887997,6.04138461538462,6.501262272089762,3.7980952380952355,3.9307584269662925,2.272573839662445
Abbotsford A Columbia Street,2013,6.138461538461535,5.541132637853952,7.052162162162157,6.24986111111111,6.922462787550745,4.396028368794336,6.091644204851753,5.612890094979647,5.226080892608091,8.849932523616733,7.0178521617852185,6.829499323410017
Abbotsford A Columbia Street,2014,7.051886792452834,3.921524663677127,4.961095890410961,5.1309957924263685,5.294553072625703,5.68888888888888,6.524441340782123,9.226512455516012,6.422302158273385,5.283333333333331,9.094585448392547,6.13540540540541
Abbotsford A Columbia Street,2015,6.295510909825033,5.8533092447761135,7.778287886944827,6.226961876216962,7.2205062345013475,5.686969718168813,8.609786492597571,7.375735085872579,5.1082739109874815,7.528772185983831,8.484227330496454,3.939996827725431
Abbotsford A Columbia Street,2016,4.827143230458225,4.6040026152737745,4.599468143258425,9.274575935681478,6.464904088829067,4.826804490277779,3.980880954116063,5.581684908602151,4.34377836223776,4.42317957894737,3.1207364826147406,5.048537501355009
Abbotsford A Columbia Street,2017,3.9818599491832973,6.945977349999997,2.8125721105121286,3.7970029451476828,6.180318658774376,5.252676275524472,4.643846739541159,15.479494989159878,8.117127221757329,5.69452198305085,3.303176735576924,6.099932589310825
Abbotsford A Columbia Street,2018,4.178086498655917,4.558569812220568,6.634406252021563,5.0181183004172505,6.425949871759888,4.41285260567376,6.649148123978205,22.969773800539095,5.59975092896936,9.483203260458826,6.711833058414461,3.9892926385869587
Abbotsford A Columbia Street,2019,19.26764,,,,,,,,,,,
Abbotsford Central,2010,,,,,4.439338842975211,3.647075208913648,6.636920777279518,7.531071913161471,2.9120833333333356,5.737499999999997,4.102549575070819,1.9715249662618073
Abbotsford Central,2011,2.6916442048517535,2.9781626506024064,2.2402964959568745,2.983031988873436,3.7237127371273706,3.7331944444444423,3.3944892473118253,5.564713896457766,4.903198887343534,4.377628032345012,4.002849002849004,4.822146739130438
Abbotsford Central,2012,2.7928475033738174,2.585942028985505,2.3929729729729736,3.9193863319386355,4.826315789473685,3.3515363128491598,5.732065217391302,6.257851239669415,6.557999999999996,4.752588555858312,3.842479108635103,2.450477489768075
Abbotsford Central,2013,7.6282225237449195,6.6254464285714265,7.730945945945942,6.121696801112664,7.972446236559147,6.522281639928695,8.986864406779667,7.766576819407016,8.44965034965035,11.926051560379918,8.986072423398324,8.27611336032389
Abbotsford Central,2014,7.828222523744909,3.8976190476190475,5.057142857142857,5.33586497890295,6.139891451831752,5.735833333333331,6.65967976710335,8.616457461645739,5.856467315716273,5.181456043956048,7.437392550143275,5.460540540540542
Abbotsford Central,2015,6.019073223287677,5.42637063731344,7.245259054166665,5.606086293871867,7.034264598290595,6.012634812874253,9.03178973194222,7.1510379638386645,5.069307047353769,7.801187395693142,8.09203936262204,4.39864380727763
Abbotsford Central,2016,4.846276363391654,3.9362604956772316,4.067583633064517,6.734148136300423,5.685406974462364,4.515408368926554,4.076867748201439,5.267597331536392,5.075577622857137,5.248732475810816,4.392908014005603,5.679367545839876
Abbotsford Central,2017,4.992949914709852,5.46235259612519,2.912420336522912,3.668645663598322,6.495531439648174,5.804837506401134,5.277823974889217,17.32122023589741,9.49347227447552,6.665295169946097,5.696623120752088,6.722548144354837
Abbotsford Central,2018,4.338150387886948,4.410213944693569,5.885245983018866,4.976228071249999,6.2939651528455425,4.021275362552598,5.9572408741239915,22.60463605358594,4.926978406119617,8.759969071159036,6.3152168655384635,4.069544115289254
Abbotsford Central,2019,17.0913,,,,,,,,,,,
Agassiz Municipal Hall,2013,,,,,,3.736072423398325,8.15981182795698,6.968979591836736,6.981805555555557,7.569895678092396,6.94333333333334,6.122708039492248
Agassiz Municipal Hall,2014,3.987774725274725,3.18695652173913,4.472446236559138,5.257826887661147,5.586290322580651,5.824583333333327,7.171467025572012,9.799193548387096,5.375938803894297,5.0655898876404555,7.25861111111112,5.538844086021504
Agassiz Municipal Hall,2015,4.455957911202184,4.993772669642862,6.534499859408602,5.2129587853760455,7.325914742331281,6.465076543175495,9.334005506720429,9.200009208333318,4.02410817083333,6.963066802419352,6.461692846582991,3.9588927181942584
Agassiz Municipal Hall,2016,3.2487657459677415,3.6333009451659426,3.6898685295698943,7.642100504166655,5.306832715265864,5.96711878613569,5.5274969717742,7.376005049401199,5.467562865611517,4.395758507959481,3.5304851983310166,4.718701958186741
Agassiz Municipal Hall,2017,3.422241163598328,4.393680712351193,2.9078843842318074,3.401394580667593,6.12335510067659,5.359334813505745,7.18333681854839,26.136392864106206,10.945182598052844,5.5864812528225745,5.838143276216966,3.739628533829495
Agassiz Municipal Hall,2018,3.541050611424734,3.341298413846151,5.621889148252687,4.872682264416311,9.800975444892478,5.776218883426964,7.8541556182795675,29.343059335644973,6.545853056145249,6.2808478890982515,5.279219387065369,3.810223269241194
Agassiz Municipal Hall,2019,8.13702,,,,,,,,,,,
Burnaby Kensington Park,2009,5.09201623815968,3.7136904761904725,2.4386871508379873,4.313490959666207,4.067746288798922,7.637430167597759,7.745975443383353,7.843800539083563,5.429337094499295,3.8707988980716226,2.236783216783217,4.221951219512197
Burnaby Kensington Park,2010,2.7267567567567577,2.475336322869957,2.658648648648648,3.2823776223776204,3.799865047233458,4.2874301675977735,6.6143817204301065,8.265768194070075,2.9724475524475547,4.506048387096777,2.9306497175141213,2.1532608695652162
