EMS_ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0310162,13.935292737299074,14.315327782338455,14.365346881569728,14.91908184558312,12.7147707179064,13.922470325537667,13.189425510394814,13.508711447226734,14.591375294725198,14.819891624329305,13.033254214052812,0.4424489
0310172,18.491106193028845,17.556779487686217,16.974158198868526,18.027824179203538,16.240544713814582,18.292976773689276,16.096787930542572,,,,,
0310174,9.13763816172193,11.059372085794218,7.180230496453901,11.91877018782151,10.296093023255814,8.74593548387097,8.490522330645604,8.659069696418959,8.563196696660327,10.500773630161662,10.108308725970424,3.428611
0310177,16.49781746031746,17.440098085007005,16.252788324632178,18.036407368297546,15.646627634660423,16.825923336828613,16.63438630560244,16.55597592285648,18.542710730225824,18.31618769602338,17.27687264852112,5.683055
0310179,13.659594420349315,14.869839597236858,14.86120810055866,15.244878391019645,12.90033795594919,14.913703835648974,13.89422830496931,15.43888080995294,15.877128988657322,14.637244747778807,13.59527458457826,6.315817
0450307,19.546453845271035,19.622462063353737,20.701222466898017,19.343938757325166,19.776120252091303,20.88541713480542,21.007028032689234,17.484876388211823,24.972139186527386,20.602920658660395,18.556442072183057,13.82611
0500886,25.030750609949532,21.048714155670016,25.428365996049326,24.761317389251627,24.3246947731798,22.291445103949044,22.9566486645383,21.82788591322189,24.866092912937834,23.28501702437335,28.31184509308465,
0550502,21.71375426379063,22.97004910139719,21.579330014070052,22.486157909499582,19.68602566981954,22.699147262032707,21.095360400030337,18.64628092662014,21.050510418157113,21.040114062092293,19.63265423855994,8.12125
0605008,,,,,8.221658287089014,19.610851831039444,20.270302617102228,18.937569014986465,21.64650589752145,19.807649170810357,19.641134811234743,16.10354
E206270,26.174500928505108,26.632987135607223,26.55096377148165,28.354365446966188,27.087102452763762,29.450964219330853,25.34017683279849,27.648236111992425,28.657893261763686,27.21633395613571,25.45215686703924,30.59806
E206271,19.074351517971387,19.338729937194696,20.078829404250374,21.30364705882353,18.607636618402616,20.709376089229696,19.42762884237159,20.072053564047426,21.37713393830928,20.921730962907876,20.3068982332529,37.51785
E206589,18.948462565437598,17.718963020448825,18.844639983796856,20.17095926003642,18.353966818115058,19.41648540942247,16.66324457030956,15.088149772236257,17.44848129324084,18.181939151212426,,
E207417,16.643348891481914,17.100746091899573,17.14527577379567,18.56779819735456,15.573173892554195,17.37652296157451,18.56647633994518,17.16010050376288,17.609793131232394,17.64931856511708,16.511375848052246,24.93861
E207418,16.874621653084983,17.75834075582135,17.177380675203725,18.113129538533613,15.642693342693343,17.40675913953215,15.956181270058481,17.068804518820727,18.501606478145387,17.135918863811487,16.971455050407354,21.02514
E207723,16.54032033426184,17.170455081348738,17.52389462690031,17.9287848951697,15.506486423764214,18.088385071503314,16.54694378127774,17.963261681676983,18.500767545084944,17.68058400087306,17.530036488670238,31.04419
E208096,17.832728224559247,18.481077418587113,18.22520556390468,18.320181720681013,17.209938376659426,18.28628485401679,17.806122707467388,15.231189112974175,19.41741636121734,16.28456711658496,14.334832188253172,2.626666
E209177,16.401779611078375,17.454068801897982,17.33083894957007,18.37126773777413,15.900314428787702,16.468849765258216,15.907522645032257,17.802901672958175,17.73045373610821,18.581637579795775,17.159764366325238,3.380754
E209178,20.281979873625087,20.657092982660306,20.55085966542751,22.02778618842436,19.041507191251636,21.20026502830984,19.78064016351906,20.763669191188143,22.060443877398544,21.621677876433782,19.96656192592763,35.09299
E220891,18.542750233863423,16.70795892169448,17.739997671169075,19.067780373831777,17.75371633752244,17.712453608247422,16.695777267064948,17.502047683505275,20.743703464616473,18.326016373361036,18.835580181802484,40.08991
E223756,20.195348837209302,16.678058184367334,17.895046728971963,19.886869871043377,18.44847497089639,19.676358826358825,18.865805326737462,17.613244734421848,21.100764756394728,19.842791613545632,18.817717819424047,10.51191
E227431,21.35787238426191,19.994989590772917,21.876929323621102,22.816473511427695,19.705935736340212,21.703497960346425,20.32525700047786,18.879505443355786,21.83377702182242,21.58936100168932,21.34853206648791,2.274027
E229797,22.381497131714973,21.526409207522388,22.059131156377124,23.798119197083782,19.973772811722142,21.223367759956833,20.63516248151856,20.665896434979718,22.364746335017948,21.719342037614297,22.34132983865936,34.46861
E231866,19.58618208724453,19.243119716194872,16.26805625438588,21.32850882510338,17.786670226397455,20.972594777069297,18.88659230709067,21.26575168323375,21.901493974703843,21.550628170028855,19.566108336389355,38.63431
E232244,17.912348130841124,18.71601711026616,18.896133960047003,19.569116279069767,16.621908209739576,18.21428239125378,16.708099636358277,18.264411633043782,18.928214214834835,18.321928650005773,16.83574662538258,15.20611
E232245,18.9535366419295,19.06807025706642,19.51052876776147,20.214009774261115,17.419441838649156,19.25028976936724,18.525550189309342,19.847308736654536,20.988089427735733,20.45707196602365,18.84246816922989,16.8438
E232246,16.87397276219299,16.979436422915697,17.009333488697273,17.761261473287835,15.65336637253717,16.88216045038705,16.154174629602547,16.16859137205143,16.759953651253483,17.17787129263303,16.372970218451286,10.48973
E238212,18.99061876247505,18.62925481899389,18.9347733459581,19.897913950456324,17.790525822695866,20.034847764034254,18.0634128190685,18.298660871514425,20.739840922184257,20.290905824451592,19.087549548160457,35.205
E240337,,,22.786080566098633,24.595455647079856,21.557543517189405,23.541983867833135,20.493761015150255,22.71461412119403,23.349576045,23.759016390822172,21.695323400760778,
E242892,16.53664523670368,17.162665428372417,16.719904772964814,17.7511245073035,15.091063929071396,16.86212859795729,16.21412384599018,16.43401365950163,16.967122975620605,18.003234431219738,16.323185724173932,0.791111
