STATION_NAME,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford A Columbia Street,4.639034482758619,2.2615914307574623,2.060018132366274,2.050549450549453,2.841514726507714,2.9321608040201004,2.7160824742268064,3.3930296756383806,4.336690647482013,3.417424242424247,2.3593342981186707,4.786283524904213
Abbotsford Airport Walmsley Road,18.84064022268615,5.829457364341085,1.8102493074792243,2.413793103448276,2.33587786259542,1.6048158640226629,3.05,2.3701923076923075,7.5318840579710145,7.34985835694051,1.7504424778761063,8.755167597765361
Abbotsford Central,10.343851614380545,4.386938981341435,2.243089053803354,1.4879905437352288,1.912191650853888,1.6358999037536117,2.138702460850117,3.217753519103715,4.2290598290598265,4.6237990060740035,2.563104036384305,7.753716766142158
Agassiz Municipal Hall,6.416019086571236,4.639088191330338,2.7741803278688506,2.5688779110797495,2.220479452054795,2.5193069306930638,3.1464212678936536,4.0366323024054775,5.704317055909408,5.603627652292954,5.587791107974592,5.671399035148171
Blueberry River First Nation School,0.5565031480616519,0.5119743328075705,0.532579840682788,0.22276228695652217,0.34186716315049165,0.1679232122498484,0.2884707688022282,0.22072503373155278,0.3182965466970381,0.3902591349262126,0.6582559,0.6216679370629375
Burnaby Kensington Park,17.173369688707208,7.658779011099876,3.2813653136531458,2.896771130104473,2.963302752293592,3.292627599243857,3.322739726027395,4.604809286898833,6.140175289793604,5.456534090909093,4.18516437201462,15.916319253976928
Burnaby Mountain,3.347469417126421,2.4026825633383107,1.346499768196571,1.678336466165417,1.825840626439435,1.8486435030937751,1.77841530054645,2.099945385035512,2.6208778173191094,2.5618291347207114,1.5262566694748743,3.2580539656582523
Burnaby South,20.25376988701874,7.577733199598791,2.635632708999556,2.2247274529237044,2.3095981087470556,2.312256532066518,2.7245048104131357,3.898716898716904,5.091947898164616,4.780879432624124,3.658416122622773,17.73329706202396
Castlegar Zinio Park,2.6830699824109936,2.788323510419123,1.6320328592912428,0.8207196097941438,0.8157812382710111,0.9666824278817481,1.1616966754497218,1.0625355639303846,2.063621798527403,2.4323913718657066,3.08830677252585,2.3178121413695534
Central Saanich Stellys Cross Road,3.581203459153433,3.6638843416342395,1.8659702630173547,1.8771345875542658,1.4002861230329025,1.527866473149491,1.324229163096775,1.771003674827926,2.461818829011625,2.06542826537395,1.8702692566072097,3.6305678227956992
Chilliwack Airport,8.921386886371433,4.93687428353075,2.8925913163335535,2.1552757793764936,2.0820843499477166,2.9823697359029264,5.573867276887862,9.115016121602943,12.310624106717473,8.18897196261684,4.258928571428559,5.496668188041999
Colwood City Hall,3.8989046953045423,2.1230606090588884,1.3880269122990982,1.071969563112355,1.0616342176949587,0.8802245227429015,0.9654875743533098,1.383138760942672,2.6415430989438216,3.830252416191421,3.722726984014578,4.06502820700224
Coquitlam Douglas College,20.577100984657605,8.625985037406483,3.2869107551487553,2.073361621876488,1.7550597976080966,1.5495432563138105,1.8581801470588202,2.5894551845342746,4.500056561085974,5.760545702592094,3.7535042735042934,20.529437465865648
Courtenay Elementary School,5.17597978844932,3.7929222355269925,1.9267998161496036,1.2446120150490707,0.9300456898093002,0.8432807716411737,0.9133379515439404,1.0844928056524143,1.9704138591331009,3.6800405013869293,5.080381760441161,5.63380626645901
Crofton Escarpment Way,0.8066408320821941,0.45486555184257493,0.7319005506373468,0.5083805162813881,0.5867913529134406,0.5483655811233457,0.8099202944934019,0.9530758620599376,0.9902983153549717,1.1578166180863536,1.1232719486019216,0.8829387079178167
Crofton Substation,2.0997440730329613,1.5957962597701738,1.0885871309613013,1.208590626217506,1.2938461498385954,1.3839742223765645,1.367357664478953,1.6489360880696786,1.9284878852642289,1.990743388532109,1.8840152482879986,1.6560830636798018
Duncan Cairnsmore,8.211681130609264,4.921453723335549,2.261558467272952,1.4405796511141475,1.0917422037885935,1.0287417246216404,1.0888999232799348,1.4377515803994623,2.6246381321104173,4.597725429453238,6.561621946547378,9.172038875819542
Elk Falls Dogwood,2.6849728562348942,2.1336275024475664,1.4390967827894576,1.162655287364641,1.2210848888735777,1.349169769543997,1.4753335478875806,1.8201350607430178,2.667618929059583,3.2191600333707737,2.5495383203339563,2.026351324812072
Farmington Community Hall,,,,,,,,,,,,0.5801000823327621
Farmington MAML,,,,,,,,1.9183799380952375,1.139338047826087,,,
Fort St John Key Learning Centre,6.48521524489796,4.659452411456898,3.332346023482163,1.1153503506455535,0.7879088819769111,0.8402756706460268,0.8486765559459465,1.1250090149346976,2.1418678881601902,2.5353306980912027,7.981779319187138,5.232596406278029
Fort St John North Camp B_Amb,4.472304314606742,2.949254205563909,2.1477040396716833,1.034350675458392,0.787109714971751,1.8929257812227078,1.2056948257617712,0.9839967434903062,,,,
Fort St John North Camp C,,,,,,,,1.0475297602649007,1.8002679294294321,1.4373563179591795,1.6448582862992132,1.5014009151304342
Groundbirch MAML,,,,,,0.043664730061349695,0.06740650877192977,,,,,
Hope Airport,5.17254182901675,4.377327327327323,2.157077416399454,1.630860113421552,1.6186602870813414,2.2288863109048758,2.9417679558011054,3.2307268722466906,4.871156462585032,4.965176600441496,5.3908345120226375,4.542523110386087
Kamloops Aberdeen,1.2784903487496464,0.7797372477529814,0.5637708024753885,0.6045602057474608,0.8428869795288815,0.7247108075949371,0.7692313324456883,0.5864868696842113,1.0816788597516414,1.2914409681488503,1.165388778614896,1.7320518212324956
Kamloops Brocklehurst,10.675907010430292,7.307949200259061,2.7128000017916047,1.3964492320339097,1.380058105387999,1.2905958241758237,1.7259309435028292,2.239204069613218,3.0116062587665158,4.37416992004131,5.6720739423704245,5.841336201547674
