,RAW_VALUE,RAW_VALUE
Year,2017,2018
STATION_NAME,,
Bessborough 237 Road,0.28731944684300365,0.096611
Pine River Gas Plant,0.21963195751202072,0.4133969999999999
Pine River Hasler,0.6100174858118467,2.277614
