STATION_NAME,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford A Columbia Street,5.4789337969042995,5.061520696054413,5.648434375822176,5.90306489421488,6.425718382373045,4.923026294642853,6.13816776037224,10.458507408784486,5.900130527833397,6.444662307841616,6.164140592312957,4.910005817116052
Abbotsford Central,5.138278903803894,4.40881244576083,4.681073183928868,4.91822746012194,5.802658249910368,4.762537221888548,6.030601761389588,9.808837919417932,5.831014073702646,6.718699689416709,5.8732368566945095,4.865017687889894
Agassiz Municipal Hall,3.73114252460448,3.9241732440863544,4.646252237977403,5.2800634900029335,6.887251598902374,5.517820926496942,7.5384611734259375,14.800088099745835,6.562352798041498,5.976098226178864,5.885543899745007,4.640568541659091
Burnaby Kensington Park,4.012127331305993,3.7879909190194163,3.434222202703938,4.328789708702402,5.205813509954049,5.235386081442822,6.861658370641696,9.871730059007133,5.319550039717649,5.104228754004336,4.233016656270397,4.3852445195349645
Burnaby South,5.0867151488837425,4.102789537251704,3.752006856217272,4.288360081040319,5.0310257371155505,4.663594165873338,6.198406926429145,8.875091698089255,5.727406582398332,5.73122875258993,4.897606879436113,4.486364218043265
Burns Lake Fire Centre,7.872584358648571,8.051648868533247,6.535320028388749,4.8618224633518645,4.205424006708817,3.5462327954691752,4.298187729252217,11.567208895250829,5.818139132014658,8.246531504098963,9.469773907571918,8.665680433853495
Campbell River Tyee Spit,3.2608108108108107,3.8422619047619047,2.77027027027027,2.9151599443671765,2.5864864864864865,4.874471086036672,4.198945944674963,4.578815363636364,3.1061352324929974,2.746530436069985,2.59277689466292,3.140686900680271
Castlegar Zinio Park,9.876282171942888,8.812819582419893,7.066679663519891,5.677753640019032,5.1817896391611775,4.189900697691031,7.254588673992667,26.710506136138132,10.823080057907335,8.826767354497358,11.366382419996038,10.534413158714864
Central Saanich Stellys Cross Road,4.464307966503835,5.475736743511441,3.705158232167833,4.369534555712271,3.588317107093185,5.183206106870229,5.814084188346888,5.033919088555861,3.9356699887165045,4.074237715862071,3.680738409425624,5.672550875346259
Chilliwack Airport,3.8597314106828713,3.916431286401925,4.085344249932394,4.460956079759408,5.035610342611869,4.451108115300925,6.105849440085146,10.840188833649739,5.524159483962265,5.891477027568319,5.677042507059756,4.493165532067698
Colwood City Hall,9.14153611771407,7.009886261297036,5.577951755741133,4.526278371025367,4.6910799174553075,3.8744326256684456,5.02423979766187,8.454859097619869,6.22552026555794,8.13868992756812,9.150034654887484,9.32428265132592
Courtenay Elementary School,16.219414265470004,14.110628571428572,9.384806452210322,5.3982035928143715,4.38587294772118,2.7362632323555562,3.9643214326162903,7.094430328292269,5.258558072743208,11.237640805113442,15.971648603909827,17.188941655359567
Cranbrook Muriel Baxter,19.387829999999997,,,,,,,45.39691183707865,7.168018763560495,7.518924530191456,9.11556230965909,6.363113792172742
Creston PC School,5.273942413556745,4.4615416802872705,3.242444854954951,2.8151322298930737,2.8453132803696217,2.5433388056804755,5.042841827618381,7.581380875281737,4.293206355927703,5.719938503239742,6.486247902915843,5.686296183106738
Crofton Escarpment Way,3.5807315957677592,4.104584950879314,3.5458075434640515,3.3876711808913527,3.1154833888727915,3.167468110245311,4.468692435869278,4.873921257827377,4.057034994019935,4.991058794108623,3.495635632339088,3.154192631507228
Crofton Georgia Hts,7.044325793032088,6.11681341029256,5.599847118644074,5.451404077678073,6.18220880939525,4.662219197901899,7.128003835313173,14.27909891396958,7.891335770472892,9.167032084961999,8.545697277424944,7.01173338928907
Crofton Substation,5.287499005910718,4.850434921579744,4.361637735353137,3.946382179117013,4.680368279768121,3.781797916050176,5.378940746242871,8.906031988127271,4.726134966271083,6.230122898240821,6.202573040119574,4.627165186094673
Duncan Cairnsmore,15.372253408179631,10.776609724047306,6.606685996929899,4.563879003558719,4.4059342328193445,3.6484684684684683,5.184552411461114,6.248067226890757,4.7961251333096335,10.005159564303458,13.336776859504132,15.726072607260726
Duncan College Street,4.933333333333334,5.375912408759124,6.82907133243607,3.1829608938547485,3.917900403768506,2.3619718309859157,5.0246913580246915,19.518417462482947,3.6820728291316525,10.255060728744938,12.502785515320335,10.690934065934066
Duncan Deykin Avenue,8.057774207107844,5.859682746503847,4.237359643013369,3.5652557946204335,3.4574910633506923,2.4884157300387595,4.161038594985053,8.131006206506852,4.44961008063705,6.774901481759828,8.079190230348244,8.368593413868355
Elk Falls Dogwood,7.240148913299885,6.662861151755394,5.356571313201433,4.210104910272743,3.7711329211758584,3.2761053652010017,4.131625095292062,6.985785976353457,4.421766309681628,7.32716144206748,8.933514004764461,7.93206602662394
Farmington MAML,,,,,,,,8.613628165198236,3.0168472826086954,,,
Fort Nelson Chalo School,,,,,,,4.466666666666667,,,,,
