STATION_NAME,Year,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford A Columbia Street,2012,,,,,,,,1.8291089108910892,3.8539017341040465,3.744581618655693,4.495809248554913,3.1998593530239097
Abbotsford A Columbia Street,2013,7.881181318681318,2.462783661119516,2.8789400278940027,1.6991465149359886,1.9445062586926285,2.0709859154929577,1.6632152588555857,2.4747206703910614,2.5848656294200847,9.461212121212121,4.115112994350283,5.684218289085546
Abbotsford A Columbia Street,2014,8.874761255115962,0.9660091047040972,1.8370111731843575,1.2411095305832147,1.6313837375178315,2.0145685997171143,2.694126074498567,2.6253405994550407,3.0415942028985503,3.0326975476839237,4.252676056338029,3.1426742532005694
Abbotsford A Columbia Street,2015,10.023955785020805,5.556252257621951,2.507110748290014,1.5539691816901409,2.1682976065573767,1.8027038525963148,2.030183163461538,2.2123113735537188,3.567426828611898,3.6114034887640454,5.256948367435158,2.364209778385773
Abbotsford A Columbia Street,2016,3.3126153186813188,2.113903234513274,1.859471169731259,2.6138866661721067,3.2285530631868133,3.3844640014306155,2.7420050179310342,3.174759073509015,4.3123414900000006,2.3824724354395608,2.523789550212164,2.3776830468965517
Abbotsford A Columbia Street,2017,5.96786348824343,2.4244485214626392,2.4149818863636363,1.5005029189580317,2.4391607808022924,2.47589583573487,2.689883434246575,3.609459978021978,4.358284504347826,4.459025986187845,2.187162631111111,7.797087801724137
Abbotsford A Columbia Street,2018,3.093788805706522,1.9855408507462688,2.1018152793914244,1.3613755450643776,2.9895782634560906,2.5575971766423358,3.3469427604456823,3.4445199743935313,3.931881044568245,6.647993783561644,3.9956701086350974,2.089366159618008
Abbotsford A Columbia Street,2019,3.69582332166891,2.387284693623639,2.2072087561643836,1.2501338704,2.257021019461078,1.4989325097493036,2.358511915208614,2.346373281671159,2.0221592644978785,4.2779814683714665,6.152395914446003,4.405915326145553
Abbotsford A Columbia Street,2020,0.337778,,,,,,,,,,,
Abbotsford Central,2009,20.499316005471957,8.816901408450704,3.967123287671233,2.1685714285714286,3.017910447761194,2.0857558139534884,3.9644322845417235,3.518881118881119,5.305084745762712,6.378830083565459,4.255681818181818,12.783561643835617
Abbotsford Central,2010,8.734246575342466,7.93815987933635,4.913165266106443,1.7862800565770864,1.4274647887323944,1.2558073654390935,2.279289940828402,3.142075736325386,3.9045261669024045,9.316326530612244,6.778539493293591,4.097260273972603
Abbotsford Central,2011,8.618468468468468,3.995961995249406,1.559781121751026,1.5936106983655274,2.8355737704918034,3.0585572842998587,2.6924791086350974,4.749644381223328,5.912834978843441,8.112551159618008,7.623623188405797,17.757554945054945
Abbotsford Central,2012,5.407660738714091,3.610087719298246,2.3419753086419752,2.1101596516690857,1.9491758241758241,1.962756598240469,2.3073033707865167,3.300281690140845,8.114436090225565,5.027629733520336,6.3307582260371955,4.663561643835616
Abbotsford Central,2013,12.570218579234972,4.297416974169741,4.374022346368715,2.4594594594594597,2.921733149931224,2.54193083573487,3.4766896551724136,3.8882673942701227,5.017416545718432,13.185890410958905,7.600333889816361,5.942959770114943
Abbotsford Central,2014,17.143100511073254,1.4845688350983357,2.655878284923928,1.6260431654676257,1.8174863387978144,1.9724039829302986,2.8012534818941504,3.4332390381895337,4.463105413105413,5.083795013850415,6.941324921135647,4.969672131147541
Abbotsford Central,2015,12.259258714285714,6.03842853800905,4.872191458390177,2.1301966211647727,1.674308191862069,2.1050236494688925,2.2172698785310736,2.6820376059474413,5.486802517680339,6.598119056277057,8.416433691205674,3.6307011332876713
Abbotsford Central,2016,4.28517206739427,2.2832815673499267,1.4061934984528832,1.3252131994350282,1.2372601281337048,1.2948762727011496,1.4235854918256132,2.2746729969465647,4.239758100141844,2.0964006696011004,1.9430983326210827,3.6031751523160764
Abbotsford Central,2017,6.200393503472223,2.2813783751891075,1.314532653006993,0.9754939759547384,1.5551683965277776,1.5315844596541788,1.9318691899709304,3.9157854637362637,3.668202856178161,6.287008539310345,2.332330971205674,9.382978384274194
Abbotsford Central,2018,3.114960705114401,2.028290088490284,2.359979371024259,1.1620192911392406,1.5021779791842476,1.4443264283430233,1.8770168140646977,3.0383590779431664,3.4374780688888893,8.76658673463612,5.145485246835443,3.12630044869326
Abbotsford Central,2019,5.6292366539703895,2.8684204867559524,2.1967990830163044,1.1114727427566806,1.590469644054054,1.3643633751743376,1.8362758773584906,2.0819445741239893,2.03706516,4.89472041488498,9.234702325905292,5.378739341184388
Abbotsford Central,2020,0.315,,,,,,,,,,,
Agassiz Municipal Hall,2013,,,,,2.8636363636363638,2.4197080291970803,2.74187675070028,3.873763736263736,4.7645357686453575,8.599046321525885,5.953323903818953,14.721853388658367
Agassiz Municipal Hall,2014,5.143519781718963,2.5616438356164384,4.562073669849932,2.2973087818696887,2.847950819672131,2.9434042553191486,3.2470027247956406,4.025412087912088,4.279718309859155,6.486885245901639,5.864507042253521,4.982103825136612
Agassiz Municipal Hall,2015,8.821040923398328,7.331090696319018,5.594491904632152,2.7221927851694914,2.6460639260273973,2.6568968929577466,2.6997610482093664,3.7691506634877383,5.1237946774647884,5.857523649386085,6.349402466284074,5.958532711294766
Agassiz Municipal Hall,2016,4.566168164850136,4.653867937134502,3.0887878756830602,3.056256236209335,2.3382897997275203,2.7531012408450706,3.187899301500682,4.674676618131868,5.852727659032716,5.19013097760989,6.254735352062589,7.306349116575342
Agassiz Municipal Hall,2017,8.258038465803814,4.621816752446483,2.458827151639344,2.0847028895774646,2.1045451395316803,2.282881955255682,3.107374401498637,3.3980612196698763,5.556834877746479,6.016868439563438,4.930585070028011,4.016592681692094
