STATION_NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abbotsford A Columbia Street,,,,4.724500212675457,6.342921116086806,6.139254017750059,6.683416646605293,5.061460936273378,6.216706391666667,7.267116791819853,5.758319029740634,0.511333
Abbotsford Central,,4.6130496453900705,3.787692484486325,4.119523699953981,8.099228729814412,6.10655737704918,6.531228859342283,4.960463274009324,6.6901640076642765,6.92611413878283,5.429708142363113,0.5116667
Agassiz Municipal Hall,,,,,6.641837751644409,5.745696529080676,6.256917667704956,5.016003548859587,7.074775957200554,7.725553794466999,5.346634186652715,0.2415572
Burnaby Kensington Park,4.899757673667206,3.9110677382319174,3.5837610772240764,3.837254901960784,5.810871743486974,6.402623732856291,6.562939286533985,4.470398657673555,6.35290017444212,6.2589481493546115,4.5073030048167535,
Burnaby South,4.703876236484932,3.7644518683494184,3.775848188614146,3.8636826278047653,6.075275862068966,6.155320977046766,6.986957686356752,4.648621986534138,5.991941670080057,6.4355047291105745,5.101033258208072,3.641417
Burns Lake Fire Centre,4.685720093998811,5.39859586475755,4.275296962716379,5.230326137954149,5.83497200318713,7.299978124701195,7.095724497348262,6.827952634775374,7.254834656054781,16.083803066310875,8.601182509101585,
Campbell River Tyee Spit,3.378364566624439,0.0,,,,,,,,,,
Castlegar Zinio Park,,,13.548862205947136,7.327350527033219,7.650068587288724,7.845262368793491,14.306181364291435,6.577557233130943,10.368372974351193,16.980459992497323,6.708161642230189,9.382958
Central Saanich Stellys Cross Road,4.702333240509342,4.224053000692042,,,,,,,,,,
Chilliwack Airport,4.50860674676525,4.100734784417025,4.169199952869094,4.085023570651517,5.710058072009291,5.242063859324387,6.584544551071428,4.46816121691168,6.877952674337921,7.710166387827335,6.299805348834212,0.0
Colwood City Hall,,,8.129256134236607,7.861041485271859,7.906964985463279,5.404904443932765,6.463982311183521,4.465692577440094,6.481379310344828,7.702150409884757,5.213329583802024,
Courtenay Elementary School,,,8.850886595516382,7.887548530227399,11.38234941923123,9.127614571092831,8.637660314035719,7.74621868144556,10.191843512601062,9.098701298701299,7.7326996638460646,5.0
Cranbrook Muriel Baxter,,,,,,,,,,9.840221358935931,5.289200678589943,13.82666
Creston PC School,,3.950034566427511,4.213591336163377,4.1912909725613305,4.778022414050822,4.4802701359099055,6.302053841827768,,,,,
Crofton Elementary,,,,,,,,,,,5.128901499797324,
Crofton Escarpment Way,3.8970063609829113,3.69631539319954,3.392565342804525,3.824244236084221,4.184531643219638,5.054833112135176,,,,,,
Crofton Georgia Hts,,,,,,8.31755031360627,9.116385811648223,5.887143611642651,6.455089820359281,7.645532791853558,,
Crofton Substation,,4.3060365236215,3.6204134571088167,2.3139318863328824,4.213343808086727,5.3906055217339315,5.988392557412935,4.777248431326981,6.382363527294541,6.864567658293784,5.575233483223798,0.0
Duncan Cairnsmore,11.41596130592503,9.161308906556055,10.743915099780828,8.506080449017773,8.571997190353548,7.746658851113716,7.61221160568632,6.441865972057779,8.790735265133057,11.921739130434782,,
Duncan College Street,,,,,,,,,,7.626707519468914,7.734837962962963,5.0
Duncan Deykin Avenue,,4.354116779812861,3.79646132419803,3.944370895330113,4.348024799302788,6.118499243933589,7.1222359667690505,4.323960825955124,7.818464110832438,8.822058823529412,7.180865760994704,6.0
Elk Falls Dogwood,4.360762992552077,3.8831232723524565,3.499234803250145,3.5918666723521318,5.702177411403907,7.3137342222231245,8.57491740596817,5.373780213731263,7.849528004128165,8.363475254455036,6.450167520009586,16.99023
Farmington MAML,,6.731669681286549,,,,,,,,,,
Fort Nelson Chalo School,4.466666666666667,,,,,,,,,,,
Fort St John 85th Avenue,,,,,,,,,4.692683996356495,8.54108127601481,6.064879236897387,0.498838
Fort St John Key Learning Centre,,,,,,,6.627177061755567,5.600719217958152,5.910153222005892,8.859906952916857,6.7682980852651635,5.31993
Fort St John North Camp B_Amb,,,,,,,,,5.745877753363827,,,
Fort St John North Camp C,,,,,,,,,4.767886446630983,7.025650457791737,6.0215254812122705,0.6586249
Fort St John Old Fort,,,,,,,,,4.40544468765094,5.819974254284554,5.885696180537075,2.042
Gibsons Municipal Hall,,,,,,,,,7.814711316523194,5.775486852380163,,
Golden Helipad,,,,,7.1141434867535125,7.469637787001734,8.23353453778282,6.2867763966763,11.793607522779833,12.072334514303177,8.542650306925017,19.53941
Golden Hospital,6.654950943582673,6.405943792391304,6.0167478727586206,5.80630021653071,10.330720280931587,,,,,,,
Grand Forks City Hall,6.244510254465513,6.142951618904899,5.815383438829475,5.993929628249768,6.67057822227861,6.085643765774495,8.056448872562415,4.080359152633423,10.293361910659515,15.511790135866368,8.942014808784638,18.3323
Groundbirch MAML,,2.259057437908497,,,,,,,,,,
Harmac Cedar Woobank,,,,,,8.705796607110091,8.605482717163579,6.686093479515291,8.047708799623042,10.498671963231685,8.348207079441947,5.0
Hope Airport,3.926809210526316,3.6754483246814535,3.3018715549288555,3.7778862922915937,5.099108589951378,5.323329600597238,6.273268557075185,4.49482746891939,7.489384661300851,8.067024963626894,4.81059129577631,1.884111
Horseshoe Bay,3.9125144977963346,3.607477260567148,3.5954697021961595,3.307682337692942,4.643173728327018,4.625448482060718,4.7549398848392395,3.7443530148714386,5.1198354567291915,5.331115679837438,3.9340317469687838,4.152105
Houston Firehall,5.95654329212674,5.645792451339564,4.693643002547475,5.5184985325003,7.501169862966791,7.834036423076923,9.661001225757056,8.748966696601277,9.278410870254763,11.93653746169844,10.547462080617098,8.93791
