STATION_NAME,1,2,3,4,5,6,7,8,9,10,11,12
Burns Lake Fire Centre,9.34224298292011,14.365808878272471,33.85386275626043,23.33467966310021,15.632684353548388,12.68878194610215,14.126753851621896,19.74474823332513,12.901459456637628,16.079718488386852,13.977011643668488,10.070226009133041
Campbell River Tyee Spit,7.5088148719676555,9.299552906110284,8.754054054054054,8.854166666666666,8.34366576819407,12.156643356643357,12.0975040672043,11.868155154054055,11.036945823943661,9.370237715053763,8.847332274011299,7.900028182679296
Castlegar Zinio Park,11.752607206582278,14.850241829606357,15.343954171809257,12.53614795041763,13.37262717113604,11.176489576637168,14.103113365566038,29.46048846219253,15.735703896168882,13.161634161275764,13.580925609365277,11.532077107186732
Creston PC School,14.196240703225808,23.751117734724293,19.20754716981132,15.21090387374462,13.976887519260401,15.10909090909091,14.570912390199636,18.909274148501364,17.785526733983286,11.554006520215633,10.11186582222222,17.906541489878542
Crofton Substation,8.146522619851451,9.803114634126333,8.537248322015182,11.139674695098039,10.859219917508417,14.516666666666667,15.831763122476447,12.899319727891157,11.976123595505618,10.26747311827957,4.222113998609179,9.752021563342318
Duncan Deykin Avenue,10.41508152173913,10.47317436661699,8.132928475033738,9.432400457193607,8.447297297297297,11.19971870604782,7.766483516483516,10.594594594594595,9.420833333333333,10.921621621621622,5.205972166666666,11.938088829071333
Elk Falls Dogwood,11.442030110465115,13.559043348281017,10.73989218328841,10.445530726256983,9.387096774193548,13.196927374301676,13.51735819939577,11.8938009292517,10.539921437150838,10.399481748655914,10.446844426981919,10.436459654986523
Esquimalt Graving Dock,11.84471303165075,11.52180485709988,11.18224047839006,12.819722445558341,11.164352143474737,15.179362293772689,16.76145148713783,15.106201263029975,17.040909525184276,15.777291732686981,11.676370963750436,9.945131066509116
Farmington MAML,,,,,,,,11.347959105726872,4.484941043478261,,,
Fort St John 85th Avenue,5.515262048268698,5.40556645026455,18.280165940840337,12.39768146778481,18.48363892537381,11.918344839990162,11.568231328087165,21.927071777676122,10.662812485272045,10.059738863755655,9.440510525321889,6.284712435555556
Fort St John Key Learning Centre,8.300180953297442,9.389319563806287,19.135256426501606,26.11385184233045,29.4824293354232,19.875524564681,18.9298200808353,27.358416672653338,20.928840610643185,24.845614175775978,15.159874460829494,10.330069727313168
Fort St John NP Cultural Centre,8.06393171149789,11.336429937823834,16.962226237553647,28.41036708707865,26.562243176265945,19.522681345969673,18.3959939533179,19.664938265576925,20.320794141547047,18.241659665047234,11.829400118186875,7.188335243941841
Fort St John North Camp B_Amb,37.086596416438354,72.45067179344774,15.780874684836064,27.591956751420454,41.02665703657143,52.243880867741936,61.66721077423822,38.361416099722994,,,,
Fort St John North Camp C,6.854498645669825,9.200222905018727,14.52933968918188,24.24822048586351,47.7528014292406,21.107036042536233,21.42638163241569,39.08007171414084,17.192454598331746,22.73587008946168,13.861288037666668,15.64727476438294
Fort St John Old Fort,6.578864918752865,8.539286193759752,13.978771030277779,11.853563950578033,16.4586594875895,9.361196921653358,10.693860219963536,19.629488430588236,8.348407003698435,8.344110084303653,10.55365035401879,9.762300169807869
Golden Helipad,13.177437766704161,24.097445860355904,25.851104730613034,17.43040179689467,14.716812753558358,12.67415577127447,18.22280700617999,28.78076682838983,16.387073690651782,16.620753053302433,17.22021346658711,12.827512551770592
Golden Hospital,16.244223048202397,28.842947598741382,30.324805381257054,21.555683176225234,14.7722075767285,14.213001952961674,15.892058894314616,18.610557271106625,15.175249781849912,16.651587828119744,17.59580788151494,14.922630502693602
Groundbirch MAML,,,,,,4.6468897230769235,5.02256503117506,,,,,
Harmac Cedar Woobank,7.736429617890881,8.437413001926783,7.515403692026194,8.3073926234,9.024679082162786,9.094038484076433,12.347911816522762,12.222627051841746,10.050281141021719,10.131675113783784,8.079980119074177,7.791438515347334
Houston Firehall,9.885443822761195,15.97844821823121,26.6783504291312,19.35462821195366,14.246898238506136,12.296565486515979,13.528563963685636,17.62348607724572,12.58952609101517,15.032377108315512,13.941954285659898,11.018520686327406
Kamloops Aberdeen,8.484691229891022,9.79489105935387,7.471506105834464,9.356497567755385,7.837272113436867,7.04860088365243,18.61242403781229,40.28725556304788,16.783403656821378,10.472159090909091,10.253960857409133,9.168161434977579
Kelly Lake MAML,,1.8988325984555985,7.943446035185185,4.936289863080685,,,,,,,,
Kelowna College,10.61155950925795,13.35297196990573,18.33417167503374,13.210693337238494,12.496153889457831,10.755277088142707,15.500714235682056,41.66524292603953,15.614774166852756,13.984453945136318,14.521330247768654,10.095425714863499
Kelowna Raymer Ave WWTP,12.0,,,,,,,,5.311512415349887,10.818713450292398,17.401883830455258,9.64919941775837
Kitimat City Centre MAML,,,,,5.773667254480287,4.038424147632312,2.9634936522327466,4.130671520974289,4.028467328007519,2.8462507269647697,3.40000007641742,4.047692307692308
