datetime,0310162,0310174,0310177,0310179,E206271,E207417,E207418,E209177,E209178,E220891,E223756,E231866,E232245,E232246,E238212,E242892,E275843,E283549,E289309,E316370
2021-01-01 22:00:00,0.2428361,0.1725,0.1781306,0.1596667,0.1352778,0.1046444,0.1431355,0.2012489,0.1438556,0.1665917,0.1478984,0.168787,0.1445195,0.1702106,,0.2046389,,0.1275833,0.118611,0.2976222
2021-01-01 23:00:00,0.1945667,0.1578819,0.1665694,0.1824792,0.1201,0.112934,0.1407292,0.1914141,0.148039,0.1506334,0.1320555,0.16581,0.1419859,0.1424067,,0.1856597,,0.1236736,0.113254,0.2458054
2021-01-02 00:00:00,0.1763778,0.1385,0.1594639,0.2447778,0.0981167,0.1204417,0.1366361,0.1876025,0.1511778,0.1442806,0.1310185,0.173261,0.1401945,0.14085,,0.1821667,,0.1235556,0.119161,0.2169972
2021-01-02 01:00:00,0.1552536,0.1372464,0.1328587,0.1421739,0.0910833,0.1232609,0.1365326,0.1571219,0.1623442,0.1448641,0.1312732,0.226349,0.1345725,0.1359283,,0.1778986,,0.1184783,0.120598,0.2057572
2021-01-02 02:00:00,0.143558,0.1315217,0.1361304,0.1422464,0.1089399,0.1308986,0.1372138,0.1440245,0.176658,0.1481168,0.1243815,0.199781,0.1392444,0.134742,,0.1605435,,0.1344928,0.124736,0.1908949
2021-01-02 03:00:00,0.144816,0.1230903,0.136066,0.1375,0.1085708,0.1213299,0.1379757,0.1519064,0.1514646,0.1458403,0.130296,0.17231,0.1312552,0.1307523,,0.1730208,,0.1234375,0.11827,0.1831354
2021-01-02 04:00:00,0.1443333,0.1186232,0.1347826,0.1372436,0.110663,0.1137355,0.1324819,0.1580666,0.1327319,0.148595,0.1333236,0.178067,0.126354,0.1327978,,0.1742754,,0.1178261,0.122957,0.176221
2021-01-02 05:00:00,0.1399891,0.1274638,0.1319058,0.2275961,0.1146159,0.1250254,0.1320109,0.150687,0.1421739,0.1428207,0.12384,0.178166,0.1233801,0.1334851,,0.1563406,,0.1216304,0.132205,0.1791558
2021-01-02 06:00:00,0.1370278,0.1166944,0.13975,0.2631389,0.1059861,0.1142417,0.1271861,0.1721685,0.133775,0.1420264,0.1327357,0.156439,0.1250355,0.1293614,,0.1640278,,0.1143611,0.124692,0.1820194
2021-01-02 07:00:00,0.1424306,0.1294097,0.1424861,0.2263194,0.1049583,0.1198889,0.1256424,0.1771634,0.1337424,0.1439167,0.1283099,0.172516,0.1295597,0.1296126,,0.1597569,,0.1138958,0.118583,0.1866319
2021-01-02 08:00:00,0.1446812,0.1456522,0.1442389,0.2065556,0.1032722,0.1107722,0.130587,0.170536,0.1366377,0.1427653,0.1353796,0.200935,0.1409362,0.1460033,,0.1689444,,0.1116667,0.119044,0.1934348
2021-01-02 09:00:00,0.13625,0.186529,0.147625,0.16025,0.0975833,0.1144139,0.1320435,0.1695633,0.1583478,0.1530514,0.1406098,0.190237,0.1431745,0.1465378,,0.1751111,,0.11275,0.131887,0.212558
2021-01-02 10:00:00,0.1439889,0.1445,0.1377861,0.1713056,0.1065778,0.11145,0.1282917,0.1704518,0.1549333,0.1575847,0.1417598,0.364686,0.1432919,0.1468367,,0.1770278,,0.1148333,0.121828,0.2200861
2021-01-02 11:00:00,0.1498924,0.1543403,0.1405417,0.2073264,0.1124687,0.1156736,0.1286771,0.17264,0.1558118,0.1960746,0.1451681,0.373106,0.14125,0.1450744,,0.1737153,,0.1144028,0.118063,0.2354306
2021-01-02 12:00:00,0.1408722,0.1571389,0.1438528,0.1752222,0.1154306,0.1233361,0.1284083,0.1671243,0.1554194,0.1764792,0.1685168,0.249865,,0.144835,,0.1745,,0.1096667,0.1137,0.2459833
2021-01-02 13:00:00,0.1497361,0.1708056,0.1383528,0.1771944,0.1108056,0.1240222,0.1316,0.16621,0.1595167,0.1907278,0.1710248,0.172887,,0.1551578,,0.1763056,,0.1130833,0.115572,0.2443444
2021-01-02 14:00:00,0.1508583,0.1835278,0.1409639,0.1646667,0.1062694,0.124375,0.1273972,0.1716842,0.1601639,0.1911871,0.1540404,0.16585,,0.1619989,,0.1824722,,0.11675,0.116975,0.2470611
2021-01-02 15:00:00,0.1470451,0.1731944,0.1394653,0.1371875,0.1172431,0.1207639,0.1331806,0.1759668,0.1585035,0.1769787,0.1444354,0.156331,0.2176096,0.1608582,,0.1865069,,0.1152778,0.121684,0.2652882
2021-01-02 16:00:00,0.158775,0.1734167,0.140525,0.1352222,0.1369306,0.1142222,0.1369493,0.1847105,0.1555444,0.1724958,0.1334125,0.161699,0.0977939,0.1437922,,0.1922778,,0.117,0.125078,0.2872361
2021-01-02 17:00:00,0.1591722,0.1802222,0.1303667,0.1327222,0.1341361,0.1099056,0.1404544,0.1896044,0.1417306,0.1586069,0.1293111,0.153909,0.0791028,0.1409983,,0.1921944,,0.1143889,0.11605,0.2961222
2021-01-02 18:00:00,0.1615111,0.1758056,0.1387556,0.1480833,0.1282444,0.1100056,0.1394472,0.1759666,0.1309111,0.1612083,0.1552727,0.148074,0.0695992,0.1274875,,0.2061389,,0.1151389,0.123517,0.3033528
2021-01-02 19:00:00,0.1567007,0.1986805,0.1610215,0.1650694,0.1181458,0.1218229,0.1506755,0.1715892,0.1396708,0.1499556,0.1515787,0.1569,0.0937744,0.1270793,,0.2089028,,0.1184028,0.125906,0.3152882
2021-01-02 20:00:00,0.1767583,0.1911389,0.1925444,0.2105833,0.1232444,0.1289972,0.1692528,0.1734627,0.1332667,0.1361681,0.1441031,0.149338,0.1458814,0.1421933,,0.2125556,,0.1114722,0.119153,0.3183528
2021-01-02 21:00:00,0.1932389,0.1658333,0.2260194,0.2435278,0.125675,0.13715,0.1441268,0.2024858,0.1340917,,0.1338585,0.135284,0.1446051,0.1515658,,0.2406111,,0.1151389,0.126681,0.3891945
2021-01-02 22:00:00,0.2207222,0.1956667,0.2321861,0.2400833,0.1259556,0.1394055,0.1922036,0.4418614,0.1350972,,0.1290203,0.129326,0.1511413,0.1842603,,0.2536667,,0.1221111,0.128225,0.4978611
2021-01-02 23:00:00,0.2260476,0.2633125,0.2062972,0.2059444,0.1394757,0.1474306,0.2164184,0.3030678,0.1410563,,0.1227095,0.150612,0.1490764,0.1718435,,0.2192109,,0.1282292,0.127712,0.5077778
2021-01-03 00:00:00,0.2198861,0.2299167,0.1972167,0.2032778,0.1288972,0.1715194,0.1828417,0.2416755,0.1507861,,0.1328556,0.142746,0.1416716,0.2067542,,0.1796389,,0.1294722,0.131236,0.4806889
2021-01-03 01:00:00,0.2013659,0.1855073,0.173163,0.1908696,0.1311449,0.1893188,0.199058,0.2207051,0.1449928,,0.1363008,0.131556,0.1319122,0.2114221,,0.18,,0.1297101,0.133902,0.4263696
2021-01-03 02:00:00,0.1669819,0.2018841,0.1534254,0.1536232,0.1366254,0.2164565,0.1724964,0.1661179,0.1465565,,0.1420212,0.150682,0.1317639,0.2223565,,0.1511956,,0.1366667,0.14488,0.3457065
2021-01-03 03:00:00,0.168125,0.1694097,0.1552889,0.1490625,0.1446924,0.1975313,0.1631563,0.159008,0.1494397,,0.1373461,0.12465,0.128832,0.1934252,,0.1571181,,0.1314653,0.173071,0.2958264
2021-01-03 04:00:00,0.1608696,0.1643841,0.1541268,0.1557692,0.1305725,0.1621877,0.1512609,0.1526351,0.1511739,,0.144713,0.158781,0.1377068,0.1710391,,0.1543116,,0.1264493,0.148449,0.2669638
2021-01-03 05:00:00,0.1537754,0.1629058,0.1547826,0.1673718,0.129529,0.1478691,0.1631848,0.1427732,0.1571015,,0.1389612,0.145474,0.1355758,0.1571677,,0.1455797,,0.1320652,0.142415,0.262308
2021-01-03 06:00:00,0.1522083,0.1501945,0.1496611,0.1593056,0.123275,0.1245889,0.1541778,0.1520238,0.1560917,,0.1455797,0.137308,0.1385443,0.1570494,,0.1537778,,0.1225278,0.12795,0.2536361
2021-01-03 07:00:00,0.1448368,0.1552431,0.1471049,0.1754861,0.1208937,0.1250868,0.1456354,0.1578305,0.1463404,,0.1299244,0.137033,0.1322165,0.1490261,,0.1505556,,0.1240625,0.120587,0.2425833
2021-01-03 08:00:00,0.1474222,0.1633333,0.1471472,0.2067222,0.1185833,0.1259778,0.1388944,0.1624384,0.1539565,,0.1303632,0.129828,0.1342819,0.1464883,,0.1560278,,0.1281111,0.12354,0.2331333
2021-01-03 09:00:00,0.1548667,0.1742754,0.1503194,0.2110556,0.1256167,0.1259583,0.1460806,0.1715323,0.1694486,,0.1398792,0.139312,0.1388101,0.1545417,,0.1630278,,0.131,0.130073,0.2254361
2021-01-03 10:00:00,0.1550305,0.1570556,0.13775,0.1741667,0.1146694,0.1388639,0.1370639,0.1625501,0.1583222,,0.1451119,0.142651,0.2135428,0.15831,,0.1681389,,0.1305,0.121047,0.2277778
2021-01-03 11:00:00,0.1555382,0.1786458,0.1383972,0.1520486,0.1213035,0.1265139,0.1335312,0.1607152,0.1547447,,0.1348822,0.155649,0.1425966,0.1593967,,0.1820486,,0.1245486,0.112528,0.239309
2021-01-03 12:00:00,0.1548806,0.1816389,0.1479389,0.1538333,0.1356361,0.1252798,0.1481556,0.1646757,0.1372056,,0.1474052,0.147927,0.1482274,0.1470906,,0.1919445,,0.1121389,0.113286,0.2475833
2021-01-03 13:00:00,0.1505389,0.1754722,0.1344917,0.1481389,0.1258361,0.1257528,0.1376778,0.1805971,0.1288806,,0.1327075,,0.141115,0.1360808,,0.2067778,,0.1098611,0.111383,0.2534417
2021-01-03 14:00:00,0.1569028,0.18975,0.1295028,0.14525,0.1241528,0.1236083,0.1285889,0.1670567,0.1209556,,0.1387534,0.153018,0.1415436,0.1383908,,0.2018056,,0.1056389,0.119881,0.282625
2021-01-03 15:00:00,0.1619167,0.1799375,0.1468597,0.1498958,0.1326014,0.1257465,0.1337882,0.1723301,0.142805,,0.1398801,0.142813,0.1428909,0.1395143,,0.1930208,,0.1127083,0.112019,0.2862292
2021-01-03 16:00:00,0.1665611,0.2018611,0.1634139,0.1796667,0.1395333,0.1316,0.1459417,0.181144,0.1674417,,0.139835,0.17194,0.1464827,0.1545111,,0.1918611,,0.1179444,0.122939,0.3441444
2021-01-03 17:00:00,0.2043028,0.2420556,0.2312583,0.1991389,0.1413917,0.1319333,0.143971,0.2095426,0.1690389,,0.132941,0.202638,0.1553123,0.1862331,,0.2322222,,0.1224167,0.120289,0.3678444
2021-01-03 18:00:00,0.2305139,0.2640556,0.1925167,0.1953056,0.1608194,0.1281139,0.156263,0.2092637,0.1659639,,0.1400834,0.265639,0.1625498,0.1837247,,0.2342222,,0.1303333,0.122908,0.3756194
2021-01-03 19:00:00,0.2182153,0.2148611,0.1611833,0.1911111,0.1586826,0.1353229,0.154691,0.2132737,0.157773,,0.1448245,0.211988,0.162984,0.1618879,,0.2037847,,0.1300625,0.120613,0.3875102
2021-01-03 20:00:00,0.2197306,0.2163611,0.1533028,0.1963056,0.1530028,0.1364139,0.1748306,0.1835824,0.1598306,,0.1468537,0.148055,0.1735386,0.185365,,0.185,,0.1235278,0.126861,0.3835694
2021-01-03 21:00:00,0.1935695,0.1971667,0.1554805,0.1665833,0.1470167,0.1419528,0.1661087,0.1712788,0.1797944,,0.143371,0.159867,0.16442,0.1947175,,0.1782222,,0.1214444,0.17085,0.3466972
