EMS_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0250009,9.823157423542858,8.635020451141553,9.572415390826947,9.644116834899176,9.737060884747313,11.022692951091303,12.473181931034482,9.368684378030563,9.658274694097422,9.00591288650201,9.30551988595192,0.820999,8.735014293882218,0.3653379839710445
0260011,7.991943677817103,6.864356095890411,7.738862164310149,10.988658969742064,8.102027828196347,9.490014100913243,8.746855351366742,6.271996597544168,7.0874784724099795,7.262760728741203,7.6897441361405905,-0.740998,7.088732188557615,-1.1983313516028955
0260012,,,,,,,,,,,,,8.209878940155322,-0.1151915957556936
0310162,,,,,,,,,,,,,9.648520704644246,3.991229694774961
0310172,10.846185526020218,8.926027298298068,9.733241782533655,10.14288552602677,10.793602776934028,12.01192263366455,,,,,,,,
0310177,,,,,,,,,,,,,10.444008822697482,4.481713321243523
0450270,5.835762911512519,4.250949416065086,5.328531018312009,7.2791047335754895,5.5105367697841725,8.284966492722942,,,,,,,,
0450307,7.083883974828906,5.524349417218543,5.8829226679013775,6.931766046660567,6.705951484680382,7.427902808124856,7.317628862498571,7.42185861577061,6.5699460335107664,5.580067383450017,5.9522076714106795,0.071998,5.755423871288259,-2.662693168649767
0500886,10.623695588721718,9.932206875071897,10.522206534851462,10.549308422494558,10.471489682476212,5.037774933615222,11.02040385915974,9.767392848401828,10.301333996689499,5.5176698128559805,,,,
0550502,,,,,,,,,4.8146448867745,-0.937105389745203,6.430402272508867,-0.003012,5.911894525550814,-2.1156016642524573
0605008,,,,,,,,,,10.306596163521231,9.565714687999087,0.903666,9.268457117471948,1.023306974146846
0770703,2.209722600939505,-1.2080287337832254,1.2571018982740885,2.3365110964338953,2.3320526644579003,3.0170467436075437,2.5177484404678365,1.7129340059674087,1.5970599383919248,1.339772091948765,-3.4166872849020846,-4.270273,1.7779519081012949,-7.046740091144485
0770708,3.383318582263978,3.637826096087852,2.9162661140046295,3.6642998861974405,2.744835518353345,4.81361692992684,4.460430319124686,3.289898870050396,2.8345319514840184,2.9103298633923473,2.646055758795709,-10.78514,3.232227839623724,-8.027814287118469
E206270,,,,,,,,,,,,,9.412546198511455,3.4905629168053243
E206271,,,,,,,,,,,,,11.006871260879683,4.568719543241843
E206589,5.552871416800183,4.289576850057938,4.812572262963816,5.586257975045788,4.721821781238769,5.049097357777778,5.234824037349123,4.764684361415525,5.762071307294947,,,,,
E206898,10.688575123094557,4.5551417679512065,,,,,,,,,,,,
E207417,,,,,,,,,,,,,10.184043519328117,5.2887047872340425
E207418,,,,,,,,,,,,,10.67238324744047,4.981178992236025
E207723,,,,,,,,,,,,,9.861390294388224,4.2187857161390765
E208096,7.600618553895035,5.69315220502283,6.540317491176136,7.237537806506849,8.16663341283525,7.862769500059277,7.2801357275418415,5.964367537337291,6.17030932830706,3.0277925678188318,,,,
E209177,,,,,,,,,,,,,10.035459392782789,4.728244704816157
E209178,,,,,,,,,,,,,9.562121182759812,4.135024319126819
E216670,,10.551193126575136,9.007614095986268,8.609888083673201,6.900492977133618,7.0591649553130384,7.867343761734518,6.662921715428571,7.716237825416761,9.514269704650092,7.876697436426526,0.381805,7.407339564052662,0.23440034901758014
E220217,,,,,,,12.431765361137948,10.532488121374742,12.085023426291423,11.361775000799634,11.413865251851009,7.431049,11.137886900536714,5.470439374030005
E220891,,,,,,,,,,,,,10.347690385367537,4.030873843523316
E221801,,,,,,,,,,,,,10.149371139285307,4.591693728024819
E223615,8.16876643644169,6.679857910734988,6.774120801435407,8.522696287836817,7.861652421227769,9.076318630806563,8.493228662830447,6.742444750863458,7.748034388524779,7.635606354091069,7.11767040013934,-0.093,6.906190421395137,0.2587283045501551
E223616,9.26371234136317,8.193931676369862,6.645115833185561,8.330897562851552,6.896892370233247,6.927337538618145,7.812952543228501,6.483278444520548,7.609608929504218,7.977290570266865,7.453311211317318,0.093,7.230441193010507,0.5302938728024819
E223756,,,,,,,,,,,,,8.89993670359882,3.1019275279535865
E224014,5.070936040877598,3.501125725265927,3.784883553151458,5.280042186277913,4.550248912479551,5.380282890306122,5.407168104465238,3.9636994798068996,4.416021404065041,1.9814196025610622,,,7.090813300433526,-3.083929521199586
E225267,4.681542562127464,3.358442224473443,4.5221113383775355,5.13339385115896,4.244082173828571,5.292903346193475,5.206230590234998,3.741732841075515,4.072903613764529,3.6990002827562,3.8683130156018675,-5.656,3.3067388910445996,-4.776887474663909
E226338,11.016126872571428,9.709498372394043,10.440696189861857,10.672942471748017,10.780966624206203,12.15193247978067,11.587077091915964,10.71317581402824,11.320335577054795,11.036462876455813,10.888332527714155,5.967998,12.25280068363903,4.453233061919505
E230557,5.933037736220924,4.610494243209169,5.043772912428735,4.96401711201373,4.111861084000916,5.332389651904023,5.692841329158602,5.733172212615907,,,3.0262437089018848,-5.706998,4.43147894057822,-3.703554061594203
E230617,6.330176293188322,4.483245595847751,5.4487344647085605,5.688526292464732,5.1284969863968906,6.564273855251142,6.103381095297735,6.403752741704952,,,,,,
E231478,10.824664365566846,9.976979446499943,10.387079225637523,11.211932147849897,,,,,,,,,,
E231866,10.472927970221281,9.800921753911156,10.112282970504621,10.198166534480608,11.43156185979169,11.867459216653288,11.662844650226297,10.573736473161262,11.07365203742275,11.511132505371725,12.601104336488252,7.55,10.424596447909526,5.576921169167099
E232244,,,,,,,,,,,,,10.07862529357374,4.52892724632353
E232245,,,,,,,,,,,,,10.229891474787014,4.539539855072464
E232246,,,,,,,,,,,,,10.181042836267402,4.779936267977237
