EMS_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0220204,2.4951254668138256,2.2328681670357566,2.2181185178535117,2.172314845132011,2.1790175582980713,2.1816870556779784,1.9503243638400243,2.8530952543559556,1.4305129499096385,,,,,
0220205,,,,,,,,,2.37030721272751,2.119575170440282,,,,
0310162,12.606580025758108,12.546590378327885,13.064510818438382,12.232721303501945,12.700458338230108,12.614494547030878,12.04942950571263,13.549299390361586,11.804489654627071,11.074492646137907,10.546816006379805,10.819433624036254,11.677223128776896,12.459391761454546
0310172,6.64049457884176,6.667839925978261,6.836483284148129,5.2718315296245235,6.263939326379653,6.562895516786366,,,,,,,,
0310174,23.573374805598753,18.87510288065844,19.20477278191873,18.04697234861743,17.73876404494382,18.317274261152676,18.54938103505707,19.094967787578973,17.337512350834206,16.081206786975464,15.543167112860893,15.789640888595384,15.313560460960092,11.778903725906735
0310175,16.55841513897102,16.69150610902256,16.734472633309842,16.057960893854748,18.2088,,,,,,,,,
0310177,11.724330436852757,11.212165165516435,11.505798756502982,11.808692062743248,11.546731718786738,11.768464423226261,11.010893573235501,12.194155453702415,11.414813634954129,10.113511146826777,8.631339530299694,8.892647802812212,10.091807183944214,10.134012812935065
0310179,13.695953216374269,13.280704041720991,13.484673571511696,12.904828388598022,12.847282221694755,12.598487831842787,11.993109080801025,13.270934729780153,12.528748760011487,13.583135798167781,11.728313859423604,12.917691315099583,13.165457390196302,11.949735125726141
0450307,9.777733617582026,10.100118424858428,10.325672752324598,10.154759825406751,9.54588632239332,9.80150453961836,8.930315720676987,7.641341393198775,10.402484052700405,10.45680174528527,7.793942051644064,8.295995263376296,8.570042939617139,13.332152623655913
0500886,8.192712921225906,7.388996820967549,7.618975977503628,5.87664828275117,6.70214742953423,7.089100508616983,6.844861160145366,7.625980389029843,7.154350918726861,8.357352875931232,,,,
0550502,7.071514518980235,9.662766504276682,8.752380633486103,8.00319006813267,4.8635999176180285,7.016569877401297,5.706709061464647,5.825111564856107,7.034193318905436,6.528424571593989,6.062436419184248,9.714855808369643,7.31856097627241,7.063747752979415
0605008,,,,15.550763544117649,11.783213289356114,11.191322219207132,10.084415379874866,11.276828016650626,11.796129394417825,10.86696220897666,10.450303948299725,10.518062746388923,10.898854799248658,13.537310780777538
0770708,,,,,,,,5.8894463638529,7.30508636890993,6.703828994203388,5.842831168420235,5.392082254105927,5.033792358246394,6.098094990077177
E206270,7.437813661710037,8.075278810408921,7.745688158351661,7.847059515408139,6.80717230008244,7.775308533960941,6.637363461316872,7.439904266875653,7.435656046671258,6.939794237147806,6.08774529191538,6.031874545283667,6.696606270312682,5.296907831048806
E206271,9.420067551828557,9.645776693389102,9.36746847267632,9.720170620544584,8.749565734681738,9.07740735919135,8.172302935500408,9.31196255981712,9.047629725974176,9.17740973692131,7.714423751207452,7.299810062691026,7.895316267421866,8.48763389159269
E206589,5.372631316549077,6.617399321968824,8.159931108220604,6.520171214623043,4.5827014379135225,5.362446147887077,4.9950263566348445,5.426728109667755,5.722827100512754,,,,,
E206898,8.534318186929305,8.649941938347965,,,,,,,,,,,,
E207417,13.125661344831604,13.07656704267938,12.916298374839238,12.925176553672317,12.944827586206896,11.510820375085647,11.676083811786542,13.009811831751824,11.182069217058553,11.764834242612984,10.179613457003484,10.08962890793851,10.383590421918914,14.940078794705563
E207418,13.395574276222115,14.007381649585163,14.008388312912347,14.358852287277383,13.985731076633757,13.819475991107991,12.202001246789429,13.51936439185573,12.547465451249568,12.614639576162656,10.645275442515521,10.577922740565493,11.73135813016824,13.151735323269131
E207723,12.56906660412758,13.339979111059534,13.630681028492008,14.054235115926833,13.77606748109366,13.67759459556528,12.418634631014797,14.136748564404188,12.916151929638582,12.443937261890918,10.148966314217345,10.518050104379647,11.403760313915042,12.368926702072539
E208096,9.041533572017368,9.72478101947395,10.413252604958432,7.761114630735629,8.88437644262958,7.475218824827939,7.58018998193992,7.457177140685376,8.725222491590124,7.901205272086914,10.981887325200292,,,
E209177,11.24578664799253,11.343704220439484,12.089431179775282,12.204706978911803,12.397540597787716,12.184389473095491,10.93719954431514,12.691962174031413,11.293843534758066,11.548893627727901,9.315057299862858,9.57714682960791,11.042766582247165,10.361216373250388
E209178,6.002121922626026,6.264196812841689,6.134277389277389,6.645546415981198,6.1914818853750155,6.469978985494404,5.499135372338936,6.134902816845169,5.73013005251857,6.035538623438409,5.350431874516314,5.253540795194534,6.109404737431192,6.366995054864017
E220217,4.038303578467218,2.8848175236705162,3.817067039887492,3.6664917437633022,4.259613373676371,,,,,,,,,
E220891,7.983970276008494,8.12572172266919,8.295334867075665,7.8616238543952495,7.084490904795653,8.850450626591401,7.784800622873507,8.251936826005865,8.326490839589376,7.459943211510542,7.04423919467962,7.209767537659209,7.730724022478221,8.66194734536989
E222520,5.1096005229357795,5.264214242727381,3.9235937837398462,4.0453978186000725,4.279754307354664,,,,,,,,,
E222778,4.542860407056886,5.053041654598826,4.559428674787102,4.9909805993311585,4.045224110812432,5.508730633758706,5.35123690806409,5.546951264063985,4.338065751209577,4.138209566687035,3.8204331806422016,3.9893802089112995,4.182411130773447,3.728727510048887
E223615,,,,,,,,,,1.4731516386032049,1.5387645292074505,1.8073094233843945,1.2468955895123686,2.358276629710541
E223756,6.69097578015836,7.1809915385532115,6.725251461988305,6.575346162872565,6.238748462904769,7.070580813829156,5.8095063182460605,5.033960350023463,4.347593582669277,5.220045719074139,5.7463249693856415,6.015882150683186,7.127699918171256,8.076708573774766
E223827,1.5255584656696495,,,,,,,,,,,,,
