EMS_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0220204,3.054865185581727,2.6286419232690936,2.818039869359715,2.5731409797760922,2.9095734685238783,2.8836681297223485,2.433371877859291,3.988930219878441,,,,,
0220205,,,,,,,,,2.3335344437116348,1.9328410056127008,,,
0310162,11.51178947368421,11.314563781717066,12.452629745733194,10.679589707927677,11.752446808510639,11.624266048114901,9.77707199721739,12.74184191261731,10.759419685280939,7.970302319452149,9.02886288819897,9.240075437512917,10.505605582316443
0310172,7.022700320129636,6.458124741758241,6.942894559053126,4.935967462012146,6.104522290748587,5.879584716888112,,,,,,,
0310174,,19.714634146341464,16.67300115874855,15.551921733053808,14.913170039048634,16.27142996158257,13.585241644344206,16.165754036610878,15.71933885591472,12.801344494863015,12.527828597535933,12.612409691383453,13.154863255348516
0310175,11.624459176552685,12.313107670147641,13.137169680111265,12.019609892023686,,,,,,,,,
0310177,11.4791782729805,10.653635405690201,12.078653229500688,10.775798438608943,11.383410466358134,11.5544884676259,9.980195529178273,11.82013349219563,11.152849551392231,8.036197081936812,7.804245552085003,8.32297523971802,8.886007804188482
0310179,13.722883135059481,12.721662030598052,13.947816975200837,12.447688564476886,12.757563780093426,12.931658398376854,10.983282188087774,14.097123071055382,13.342180111328526,13.970457344245348,11.222497625316889,13.812095591208791,13.889776354679464
0450307,6.486848088825946,6.257502118524041,7.374050559427733,6.482886988569375,6.764310971111112,6.133507522375554,4.764579660478548,6.0407960650057335,6.097873900611621,5.076248013223731,4.6051811388294075,5.296613217132143,5.362693416310541
0500886,5.023330867120344,5.083536473986365,5.5525891136612024,4.173383871060172,4.703660868611729,4.813243312386487,4.0974325705128205,5.202086980834876,4.565495442101501,1.5384646896551724,,,
0550502,4.971857922705798,4.790242938236344,5.157272632142857,3.3528685860406093,3.5775182921732522,4.06010608764045,3.2745769347133757,3.5435303683102957,3.7758057993251084,2.8026496422525105,2.810643699735781,7.222342729718412,3.6217464095238094
0605008,,,,,9.233419203621738,7.990387682786287,6.828143937897196,8.388310186727532,8.587311596918667,6.850881216594828,7.1743172109960724,7.80318029186876,7.366507829817662
0770708,,,,,,,,4.411997527590253,4.302491855600431,3.2140383136760153,3.135166950262904,3.5516335875319536,3.2959403642935374
E206270,8.011184439041335,7.9953342618384395,8.520139130434783,7.423956121726822,6.38590844062947,7.497987167903853,6.587054681540122,7.730074451909721,7.559090890793104,5.930503430202958,6.21300803882997,6.459494119575633,6.273452251765512
E206271,7.702121739130434,7.8240863209189,8.383635716826753,6.98971568971569,7.577611940298507,7.241681417712441,6.813625994395798,7.650341755106778,7.558737654934437,6.061499031642098,5.743661828787358,5.851934465097904,6.098388608673295
