datetime,0310162,0310174,0310177,0310179,0450307,0550502,0605008,E206270,E206271,E207417,E207418,E207723,E209177,E209178,E220891,E223756,E227431,E229797,E231866,E232244,E232245,E232246,E238212,E240337,E242892,E249492,E283549,E285829,E286369,E289309,E293810,E299830,E300350,E302130,E304570,E308566,E316370
2022-01-01 13:00:00,9.619296,23.13917,31.75831,24.83419,35.12139,30.2651,13.16819,35.47419,26.08972,16.72721,23.91866,22.93147,28.49248,29.01941,23.08271,24.11471,30.41617,30.02163,29.47583,20.33433,19.10039,15.14399,19.56553,30.12986,17.12293,21.43806,27.86078,28.79056,27.72139,29.96836,26.85083,19.93222,18.52938,29.40719,23.57223,7.69,21.05633
2022-01-01 14:00:00,12.75607,24.74444,32.54059,25.67682,35.47611,29.83069,,35.18122,24.58397,19.03129,24.99341,26.75558,31.43835,27.59225,24.17701,27.75071,32.85318,31.03056,28.65972,35.12345,12.75313,19.60316,18.19438,30.56639,24.71397,18.26944,27.26052,29.91833,27.44222,26.06488,28.17778,20.67972,22.19294,27.47928,20.56167,7.5,22.62594
2022-01-01 15:00:00,16.68347,26.00139,33.49328,27.27118,36.51857,29.14601,21.3582,34.43455,24.2779,18.92442,26.42738,24.58356,31.22147,27.08052,23.22655,26.12033,31.78335,30.6823,27.75472,35.6807,12.61108,27.58146,16.11162,29.2493,32.40508,17.48139,28.02855,31.39556,26.59389,26.65165,26.09056,15.49278,14.20113,24.95427,17.56611,8.25,25.11758
2022-01-01 16:00:00,18.78004,25.70583,34.16587,27.6305,36.42194,29.74683,25.53504,33.52428,23.27449,22.94705,25.94105,23.39733,30.96261,27.30806,23.57228,23.09434,33.42415,,28.05736,35.5314,11.28194,31.22611,14.21271,28.86958,31.08529,9.279998,27.761,29.69,25.97806,26.3375,21.11917,4.327498,3.797174,24.47802,14.9,9.63,23.75725
2022-01-01 17:00:00,21.06267,26.04917,35.59866,29.86525,35.86694,30.10043,26.66049,35.67209,23.28477,22.80922,28.35479,25.12861,31.93312,22.58091,21.95185,22.60865,32.30429,29.49732,27.38916,35.25463,22.85511,28.67893,9.320495,24.38583,33.57381,20.61889,29.57887,29.26194,23.15778,23.71933,21.44778,2.949444,1.047175,25.0946,16.81889,8.38,24.89218
2022-01-01 18:00:00,21.08743,25.98722,34.45244,28.76414,36.15361,31.34278,28.76286,35.06596,21.43983,22.83769,25.65679,27.33586,31.285,27.12239,20.98464,19.10336,29.07626,28.66646,27.73597,36.26521,24.36797,30.10291,12.79664,15.70916,32.39922,25.05833,29.62527,29.50361,22.89722,15.09223,21.20833,3.943332,0.756214,30.04804,8.910833,16.38,26.07236
2022-01-01 19:00:00,20.08183,26.435,34.64312,24.78897,35.81138,32.28792,29.3104,34.98542,26.44886,28.54335,24.8521,30.63825,32.03391,30.12657,18.50546,16.88344,26.76244,27.24876,,36.6182,22.25801,29.65005,12.86621,14.25597,32.3636,23.21583,28.92697,30.0575,23.18056,26.37426,20.41611,29.05305,1.196892,30.39589,4.069444,16.34,27.38899
2022-01-01 20:00:00,15.67457,27.97583,34.10412,33.00925,36.01333,,30.11908,32.70834,28.24778,29.74775,27.76727,30.10964,32.65608,30.57384,16.36609,18.10961,24.6412,24.76564,26.33778,36.16471,10.92962,31.92559,4.636305,16.745,31.28042,27.1225,33.13111,30.55389,25.25528,22.23561,19.07139,25.56222,1.361299,29.15192,6.552776,19.97,22.44992
2022-01-01 21:00:00,24.45436,29.94333,34.0318,34.15236,36.82444,32.63047,30.6154,35.08953,27.76729,28.87989,28.00348,27.7107,33.05853,28.15187,15.68371,15.15935,26.61922,25.99362,27.50306,35.53545,7.791709,32.05615,12.36942,19.88944,30.35028,,34.13379,30.23111,21.19555,19.51023,13.77917,25.33667,4.532203,27.81608,11.81917,23.8,26.70867
2022-01-01 22:00:00,18.13922,30.54056,35.81564,33.87141,,32.08977,33.68808,35.30218,27.89719,29.79701,30.37046,24.18697,33.91257,27.42954,16.01058,18.98997,20.5523,26.7284,23.42931,34.72307,10.6278,31.82623,15.63639,21.92292,30.26318,19.86528,36.71129,30.68028,19.81694,19.98278,17.01278,26.60667,14.21554,29.63991,29.83055,19.95,28.56504
