EMS_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0310162,0.26014656415185006,0.2566573165030388,0.2581156316916488,0.257718690248566,0.26414812198280935,0.27717968614642186,0.2589778563488372,0.275310828864279,0.24959925532244606,0.2520550730104216,0.24351011137042997,0.23025030532196752,0.2169442110156526,0.18544805602284525
0310174,0.29400763358778625,0.23961995249406173,0.25133828106296385,0.2506840009369876,0.32180376375902475,0.33450816354686636,0.30108633472302865,0.3230183246820595,0.2724634915442452,0.26537027097688926,0.21192010351017607,0.1872588031138277,0.2729112272065619,0.439464516373057
0310177,0.22178685612788632,0.2079761626548259,0.20770586843350686,0.2103733900508094,0.20749336367083807,0.21545447425649464,0.20559936613466914,0.1827651833036879,0.16461873693419551,0.18684113880171185,0.19505832291092745,0.1402389,,
0310179,0.19127629233511587,0.15252505736022218,0.17068338998945023,0.17247830166549377,0.18591895113230036,0.18614695973636908,0.19755324026988635,0.20086129655717763,0.20643010892236383,0.1899637311578214,0.1893733964050399,0.1688056,,
0450307,0.23911279558179274,0.2161307534117802,0.14020171148175323,,,,,,,,,,,
0500886,0.30603088698050007,0.22486132761684047,0.22615157575395858,0.18517518936671212,0.23277811828972866,0.27175832878787876,0.2385490507314771,0.25185063179861744,0.2649538424961073,0.23751663014092608,,,,
E206271,0.16410071090047393,0.16266917735671413,0.1709895894256638,0.16606313072048814,0.15851278442411448,0.18812994477396022,0.16986028990986773,0.16772082387718854,0.17715630135213223,0.16676374979686595,0.16367916818808922,0.14889817967039298,0.1870764747341358,0.18764138859512702
E206589,0.29071083080438975,0.25399434522624575,0.27680031718963166,,,,,,,,,,,
E206898,0.1324902104870956,0.23958660406386068,,,,,,,,,,,,
E207417,0.2226647024160283,0.2165930936276255,0.18838159317553768,0.19872109826589596,0.19474747474747475,0.20993765474866943,0.1989550888527258,0.2039547341944575,0.20114959905866145,0.18907731485216595,0.1794354725732601,0.15352592736707088,0.16555487208174577,0.18146477920792078
E207418,0.24003872784884406,0.23537463976945244,0.21105954055321144,0.22099895214809642,0.22028681610026513,0.22554119959021332,0.21754113606498626,0.2326806203074057,0.21223043529481975,0.19981759237967917,0.19807507797403204,0.17759055153837222,0.1907208787329278,0.19909174789172304
E208096,0.38410671448972483,0.2334286449018064,,,,,,,,,,,,
E209177,0.24216959064327487,0.22954195804195804,0.2331408830073779,0.23134529147982064,0.23107695973314274,0.2428743818309365,0.22059580643552876,0.2415183655636828,0.22327133355003484,0.2193378713841175,0.22742416230244808,0.1976316531296658,0.20322246821776505,0.1993981576802508
E209178,0.1977929187048684,0.19632221318144832,0.1754379302159981,0.164282804074296,0.1400845105953582,0.1668145087983358,0.1611395916537066,0.17162872728348322,0.2089918770618251,0.1924978341609692,0.1947544647815506,0.217175,,
E220891,0.15932694554802523,0.16829538820782253,0.15745750624034233,0.15049876237623763,0.16082470588235295,0.21973281371063225,0.19232338679736938,0.1902716114450589,0.19437386218002645,0.17212593177077087,0.19139630634202898,0.17231213372576176,0.20089297193607725,0.18043426649404454
E223756,0.17097849208225005,0.1617204301075269,0.1622012358633555,0.15004658746797112,0.1540201850294365,0.1642070454069838,0.15552315449386148,0.17522027505879587,0.17429288127629733,0.152698083880597,0.16847930468246664,0.2159949,,
E231866,0.32806689670614037,0.28296045114914736,0.25551231530573176,0.27152703560939795,0.23416169168065212,0.26882049319629764,0.2409177904824931,0.23561803604790418,0.22309473678590497,0.19337507353494793,0.216331066840642,0.17328040233572894,0.11620025781704058,0.10811889431757833
E232245,0.22310818679399091,0.2178516713091922,0.21315905915230557,0.21920107930549038,0.20868663325952685,0.22346798093575418,0.20197451626900587,0.23245146846001322,0.21292319686423156,0.20349266720578113,0.2135757275570583,0.18552144728335626,0.19321310281282555,0.17184033345416883
E232246,0.2646217411545624,0.2525760932944607,0.24068085606773282,0.24486049755870729,0.23876809901914992,0.2544394600449332,0.2421385926443203,0.2502982029890986,0.2527891545194371,0.2389604796685481,0.21343417944668586,0.19709276337915232,0.20427524444444445,0.2211920496878252
E238212,0.22803628224761455,0.2154486268939394,0.21721851981760787,0.21750087750087752,0.21157279356298717,0.22484550427978658,0.199768726751518,0.22153121218046887,0.21754740270079848,0.21462234403996325,0.22109737719257808,0.2150338,,
E242892,0.21982522886695993,0.21769965789784124,0.22336310904872392,0.2209512485136742,0.21782694541231126,0.22411154753007123,0.21235158561203446,0.22587851123595504,0.19183606443245727,0.19545998141897172,0.21997673606275767,0.16725,,
E257415,0.22900891011027208,0.20323624805261892,0.21392033801827126,,,,,,,,,,,
E275843,0.21300384212364654,0.21177246207701284,0.21704534937528924,0.20264417464394116,0.20348596923799459,0.21904506606275903,0.2123830067515477,0.18182209365987367,0.15824891276257722,0.15212264521406196,0.1435842017142857,,,
E278652,0.26467438892345985,,,,,,,,,,,,,
E279629,0.0868736798047619,,,,,,,,,,,,,
E282369,0.083579561312611,,,,,,,,,,,,,
E282769,0.06666358565895196,,,,,,,,,,,,,
E283242,0.08721087703297545,,,,,,,,,,,,,
E283510,0.09465362571976968,0.09039145288484338,,,,,,,,,,,,
E283549,0.16299981332835542,0.16181212841854933,0.15308341254752852,0.15822293068839297,0.1527997012324163,0.14127470938756206,0.13847609309069214,0.1405068695647017,0.15172898019946485,0.14399487042533302,0.15042128655385317,0.12942532389410955,0.13548076366563183,0.1537294476091476
E284909,,0.09382496199095022,,,,,,,,,,,,
E286369,,0.3213752054286416,0.29138599756838907,,,,,,,,,,,
E289309,,,0.19776859504132233,0.17579495345418913,0.17222534522791152,0.19974003911015428,0.17325931086824528,0.14723238870029098,0.1497158203295372,0.12922139761051374,0.14951774066009627,0.13399055659837472,0.14210702708285516,0.1342639257894737
E293649,,,,0.18099665992190273,,,,,,,,,,
E306480,,,,,,,,0.08059807764761012,,,,,,
E309527,,,,,,,,0.10068551299225849,0.14934610842579749,0.12760925405091247,0.12550533051987034,0.12999441610730594,0.19506257395510834,0.25266224452749597
E316370,,,,,,0.29072159338267306,0.3483112244897959,0.3786499422280723,0.31703659399727147,0.3832760361988607,0.32756145842269113,0.3148180475772472,0.34562470332026746,0.3441262936808847
E317850,,,,,,,,,,0.22156228030625266,0.2290971196115585,0.27871001896380765,0.16770768193302346,0.2520383531937735
