EMS_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0310162,14.315130190007038,14.365346881569728,14.91908184558312,12.7147707179064,13.922470325537667,13.189425510394814,13.508711447226734,14.591375294725198,14.819891624329305,13.033254214052812,13.648617429948306,15.681609333122045,17.25639928352425
0310172,17.556691645734166,16.974158198868526,18.027824179203538,16.240544713814582,18.292976773689276,16.096787930542572,,,,,,,
0310174,11.059390547263682,7.180230496453901,11.91877018782151,10.296093023255814,8.74593548387097,8.490522330645604,8.659069696418959,8.563196696660327,10.500773630161662,10.108308725970424,12.13260047958782,14.529784566351259,15.06616562192251
0310175,14.969272833042465,15.014516319076234,15.962025462962963,14.00211333023688,16.7574455019957,,,,,,,,
0310177,17.44014948032232,16.252788324632178,18.036407368297546,15.646627634660423,16.825923336828613,16.63438630560244,16.55597592285648,18.542710730225824,18.31618769602338,17.27687264852112,18.45770331317714,20.781094021356754,20.523027175232045
0310179,14.868419203747074,14.86120810055866,15.244878391019645,12.90033795594919,14.913703835648974,13.89422830496931,15.43888080995294,15.877128988657322,14.637244747778807,13.59527458457826,13.884497662246883,14.817854445892483,16.959492422866894
0450307,19.622071022933298,20.701222466898017,19.343938757325166,19.776120252091303,20.88541713480542,21.007028032689234,17.484876388211823,24.972139186527386,20.602920658660395,18.556442072183057,19.36898462203056,21.430898631726226,24.714646352290274
0500886,21.050216900214192,25.428365996049326,24.761317389251627,24.3246947731798,22.291445103949044,22.9566486645383,21.82788591322189,24.866092912937834,23.28501702437335,28.31184509308465,,,
0550502,22.97004910139719,21.579330014070052,22.486157909499582,19.68602566981954,22.699147262032707,21.095360400030337,18.64628092662014,21.050510418157113,21.040114062092293,19.63265423855994,20.450084368519516,21.49786613588347,25.127024762015505
0605008,,,,8.221658287089014,19.610851831039444,20.270302617102228,18.937569014986465,21.64650589752145,19.807649170810357,19.641134811234743,20.29045416220397,23.072799334764973,24.554396884576356
0770708,,,,,,,,19.028088233074936,21.776644952295552,21.096846370338643,21.903238476959682,23.979559983001458,30.05143713424375
E206270,26.63317988668555,26.55096377148165,28.354365446966188,27.087102452763762,29.450964219330853,25.34017683279849,27.648236111992425,28.657893261763686,27.21633395613571,25.45215686703924,27.959827395104732,29.77429455793039,29.42431055057471
E206271,19.33818773990927,20.078829404250374,21.30364705882353,18.607636618402616,20.709376089229696,19.42762884237159,20.072053564047426,21.37713393830928,20.921730962907876,20.3068982332529,21.147589313412954,23.142452967882704,23.38125690684145
E206589,17.7163453715204,18.844639983796856,20.17095926003642,18.353966818115058,19.41648540942247,16.66324457030956,15.088149772236257,17.44848129324084,18.181939151212426,,,,
E206898,20.999418082477963,26.336354678396336,,,,,,,,,,,
E207417,17.099928935212603,17.14527577379567,18.56779819735456,15.573173892554195,17.37652296157451,18.56647633994518,17.16010050376288,17.609793131232394,17.64931856511708,16.511375848052246,18.089720690232188,19.601165011561093,20.42200565026048
E207418,17.757037414100278,17.177380675203725,18.113129538533613,15.642693342693343,17.40675913953215,15.956181270058481,17.068804518820727,18.501606478145387,17.135918863811487,16.971455050407354,18.427253990550913,19.909925599861896,21.90602424682095
E207723,17.169885626694963,17.52389462690031,17.9287848951697,15.506486423764214,18.088385071503314,16.54694378127774,17.963261681676983,18.500767545084944,17.68058400087306,17.530036488670238,19.3353207502735,19.982192431307762,22.380753590889107
E208096,18.480121898928104,18.22520556390468,18.320181720681013,17.209938376659426,18.28628485401679,17.806122707467388,15.231189112974175,19.41741636121734,16.28456711658496,14.334832188253172,22.19577210418264,,
